opentime,value,unrealized_pnl,realized_pnl,commission
2024-05-18 09:33:00,2946.534555354073,-4.436800000000745,0.0,0.0
2024-05-18 09:34:00,2946.534555354073,-5.044800000000746,0.0,0.0
2024-05-18 09:35:00,2946.534555354073,-5.966400000000372,0.0,0.0
2024-05-18 09:36:00,2946.534555354073,-5.716800000000745,0.0,0.0
2024-05-18 09:37:00,2946.534555354073,-7.009600000000559,0.0,0.0
2024-05-18 09:38:00,2946.534555354073,-6.5872000000011175,0.0,0.0
2024-05-18 09:39:00,2946.534555354073,-7.950400000000372,0.0,0.0
2024-05-18 09:40:00,2946.534555354073,-8.398400000000374,0.0,0.0
2024-05-18 09:41:00,2946.534555354073,-7.668800000000745,0.0,0.0
2024-05-18 09:42:00,2946.534555354073,-6.593600000000559,0.0,0.0
2024-05-18 09:43:00,2946.534555354073,-5.844800000000745,0.0,0.0
2024-05-18 09:44:00,2946.534555354073,-4.6352000000011175,0.0,0.0
2024-05-18 09:45:00,2946.534555354073,-3.7264000000003725,0.0,0.0
2024-05-18 09:46:00,2946.534555354073,-3.169600000000559,0.0,0.0
2024-05-18 09:47:00,2946.534555354073,-5.5952000000011175,0.0,0.0
2024-05-18 09:48:00,2946.534555354073,-5.588800000000745,0.0,0.0
2024-05-18 09:49:00,2946.534555354073,-6.177600000000559,0.0,0.0
2024-05-18 09:50:00,2946.534555354073,-5.723200000001118,0.0,0.0
2024-05-18 09:51:00,2946.534555354073,-9.166400000000372,0.0,0.0
2024-05-18 09:52:00,2946.534555354073,-8.891200000001119,0.0,0.0
2024-05-18 09:53:00,2946.534555354073,-9.256000000000931,0.0,0.0
2024-05-18 09:54:00,2946.534555354073,-8.411200000001118,0.0,0.0
2024-05-18 09:55:00,2946.534555354073,-8.87200000000093,0.0,0.0
2024-05-18 09:56:00,2946.534555354073,-7.931200000001118,0.0,0.0
2024-05-18 09:57:00,2946.534555354073,-9.614400000000373,0.0,0.0
2024-05-18 09:58:00,2946.534555354073,-7.598400000000373,0.0,0.0
2024-05-18 09:59:00,2946.534555354073,-8.622400000000372,0.0,0.0
2024-05-18 10:00:00,2946.534555354073,-5.217600000000559,0.0,0.0
2024-05-18 10:01:00,2946.534555354073,-7.739200000001118,0.0,0.0
2024-05-18 10:02:00,2946.534555354073,-9.076800000000745,0.0,0.0
2024-05-18 10:03:00,2946.534555354073,-9.281600000000559,0.0,0.0
2024-05-18 10:04:00,2946.534555354073,-9.678400000000373,0.0,0.0
2024-05-18 10:05:00,2946.534555354073,-8.424000000000932,0.0,0.0
2024-05-18 10:06:00,2946.534555354073,-8.072000000000932,0.0,0.0
2024-05-18 10:07:00,2946.534555354073,-8.264000000000932,0.0,0.0
2024-05-18 10:08:00,2946.534555354073,-8.923200000001117,0.0,0.0
2024-05-18 10:09:00,2946.534555354073,-10.728000000000932,0.0,0.0
2024-05-18 10:10:00,2946.534555354073,-10.990400000000372,0.0,0.0
2024-05-18 10:11:00,2946.534555354073,-12.884800000000745,0.0,0.0
2024-05-18 10:12:00,2946.534555354073,-13.652800000000745,0.0,0.0
2024-05-18 10:13:00,2946.534555354073,-11.822400000000373,0.0,0.0
2024-05-18 10:14:00,2946.534555354073,-13.300800000000745,0.0,0.0
2024-05-18 10:15:00,2946.534555354073,-11.137600000000559,0.0,0.0
2024-05-18 10:16:00,2946.534555354073,-11.752000000000931,0.0,0.0
2024-05-18 10:17:00,2946.534555354073,-9.403200000001117,0.0,0.0
2024-05-18 10:18:00,2946.534555354073,-10.260800000000746,0.0,0.0
2024-05-18 10:19:00,2946.534555354073,-14.08160000000056,0.0,0.0
2024-05-18 10:20:00,2946.534555354073,-17.806400000000373,0.0,0.0
2024-05-18 10:21:00,2946.534555354073,-15.860800000000745,0.0,0.0
2024-05-18 10:22:00,2946.534555354073,-15.387200000001117,0.0,0.0
2024-05-18 10:23:00,2946.534555354073,-18.766400000000374,0.0,0.0
2024-05-18 10:24:00,2946.534555354073,-17.998400000000373,0.0,0.0
2024-05-18 10:25:00,2946.534555354073,-17.492800000000745,0.0,0.0
2024-05-18 10:26:00,2946.534555354073,-16.180800000000744,0.0,0.0
2024-05-18 10:27:00,2946.534555354073,-16.70560000000056,0.0,0.0
2024-05-18 10:28:00,2946.534555354073,-18.075200000001118,0.0,0.0
2024-05-18 10:29:00,2946.534555354073,-19.00320000000112,0.0,0.0
2024-05-18 10:30:00,2946.534555354073,-16.443200000001116,0.0,0.0
2024-05-18 10:31:00,2946.534555354073,-15.956800000000745,0.0,0.0
2024-05-18 10:32:00,2946.534555354073,-14.555200000001118,0.0,0.0
2024-05-18 10:33:00,2946.534555354073,-11.508800000000745,0.0,0.0
2024-05-18 10:34:00,2946.534555354073,-12.379200000001118,0.0,0.0
2024-05-18 10:35:00,2946.534555354073,-7.368000000000931,0.0,0.0
2024-05-18 10:36:00,2946.534555354073,-8.788800000000744,0.0,0.0
2024-05-18 10:37:00,2946.534555354073,-10.555200000001118,0.0,0.0
2024-05-18 10:38:00,2946.534555354073,-10.382400000000374,0.0,0.0
2024-05-18 10:39:00,2946.534555354073,-9.972800000000746,0.0,0.0
2024-05-18 10:40:00,2946.534555354073,-7.035200000001118,0.0,0.0
2024-05-18 10:41:00,2946.534555354073,-5.032000000000932,0.0,0.0
2024-05-18 10:42:00,2946.534555354073,-6.9648000000007455,0.0,0.0
2024-05-18 10:43:00,2946.534555354073,-6.164800000000745,0.0,0.0
2024-05-18 10:44:00,2949.388671194073,-7.425600000000559,3.7128000000002794,0.85868416
2024-05-18 10:45:00,2949.388671194073,-2.7912000000001864,0.0,0.0
2024-05-18 10:46:00,2949.388671194073,-2.6280000000004655,0.0,0.0
2024-05-18 10:47:00,2949.388671194073,-3.108000000000466,0.0,0.0
2024-05-18 10:48:00,2949.388671194073,-1.8376000000005588,0.0,0.0
2024-05-18 10:49:00,2949.388671194073,-1.4760000000004656,0.0,0.0
2024-05-18 10:50:00,2949.388671194073,-1.6520000000004658,0.0,0.0
2024-05-18 10:51:00,2949.388671194073,-1.8344000000003726,0.0,0.0
2024-05-18 10:52:00,2948.421800154073,-1.8248000000002795,-1.8248000000002795,-0.8579289600000001
2024-05-18 10:53:00,2947.563661274073,0.0,0.0,0.8581388800000002
2024-05-18 10:54:00,2946.704860634073,1.6543999999999068,0.0,0.8588006400000001
2024-05-18 10:55:00,2946.704860634073,5.910400000000372,0.0,0.0
2024-05-18 10:56:00,2946.704860634073,8.848,0.0,0.0
2024-05-18 10:57:00,2946.704860634073,6.211200000000186,0.0,0.0
2024-05-18 10:58:00,2946.704860634073,8.624,0.0,0.0
2024-05-18 10:59:00,2946.704860634073,7.382400000000373,0.0,0.0
2024-05-18 11:00:00,2946.704860634073,9.174400000000373,0.0,0.0
2024-05-18 11:01:00,2946.704860634073,10.499200000000187,0.0,0.0
2024-05-18 11:02:00,2946.704860634073,14.992,0.0,0.0
2024-05-18 11:03:00,2946.704860634073,15.830400000000372,0.0,0.0
2024-05-18 11:04:00,2946.704860634073,14.8,0.0,0.0
2024-05-18 11:05:00,2946.704860634073,13.168000000000001,0.0,0.0
2024-05-18 11:06:00,2946.704860634073,14.16,0.0,0.0
2024-05-18 11:07:00,2952.3094046340734,12.931200000000187,6.4656000000000935,0.861056
2024-05-18 11:08:00,2952.3094046340734,7.736,0.0,0.0
2024-05-18 11:09:00,2952.3094046340734,8.577600000000093,0.0,0.0
2024-05-18 11:10:00,2952.3094046340734,7.486399999999907,0.0,0.0
2024-05-18 11:11:00,2952.3094046340734,6.5040000000000004,0.0,0.0
2024-05-18 11:12:00,2952.3094046340734,7.4256000000000935,0.0,0.0
2024-05-18 11:13:00,2958.3329809540737,6.884800000000279,6.884800000000279,0.8612236800000002
2024-05-18 11:14:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:15:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:16:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:17:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:18:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:19:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:20:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:21:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:22:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:23:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:24:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:25:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:26:00,2958.3329809540737,0.0,0.0,0.0
2024-05-18 11:27:00,2958.3329809540737,0.0,0.0,0.0
